,precision,recall,f1-score,support
0,0.9696969696969697,0.7619047619047619,0.8533333333333334,42.0
1,0.8354430379746836,0.9565217391304348,0.8918918918918919,69.0
2,0.8433734939759037,0.8536585365853658,0.8484848484848485,82.0
3,0.8636363636363636,0.9344262295081968,0.8976377952755905,61.0
4,0.9305555555555556,0.8481012658227848,0.8874172185430463,79.0
5,0.8735632183908046,0.95,0.9101796407185628,80.0
6,0.8875,0.8452380952380952,0.8658536585365854,84.0
7,0.9078947368421053,0.8734177215189873,0.8903225806451613,79.0
accuracy,0.8819444444444444,0.8819444444444444,0.8819444444444444,0.8819444444444444
macro avg,0.8889579220090482,0.8779085437135783,0.8806401209286275,576.0
weighted avg,0.8852151347327218,0.8819444444444444,0.8814231360044023,576.0
