gender,emotion,intensity,actor,path
male,neutral,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-01-01-01-01-01.wav
male,neutral,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-01-01-01-02-01.wav
male,neutral,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-01-01-02-01-01.wav
male,neutral,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-01-01-02-02-01.wav
male,calm,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-02-01-01-01-01.wav
male,calm,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-02-01-01-02-01.wav
male,calm,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-02-01-02-01-01.wav
male,calm,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-02-01-02-02-01.wav
male,calm,2,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-02-02-01-01-01.wav
male,calm,2,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-02-02-01-02-01.wav
male,calm,2,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-02-02-02-01-01.wav
male,calm,2,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-02-02-02-02-01.wav
male,happy,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-03-01-01-01-01.wav
male,happy,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-03-01-01-02-01.wav
male,happy,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-03-01-02-01-01.wav
male,happy,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-03-01-02-02-01.wav
male,happy,2,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-03-02-01-01-01.wav
male,happy,2,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-03-02-01-02-01.wav
male,happy,2,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-03-02-02-01-01.wav
male,happy,2,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-03-02-02-02-01.wav
male,sad,1,1,C:\Users\HP\speech-emotion-recognition\speech_emotion_recognition\data\Actor_01\03-01-04-01-01-01-01.wav
