,precision,recall,f1-score,support
0,0.4827586206896552,0.3333333333333333,0.39436619718309857,42.0
1,0.7105263157894737,0.391304347826087,0.5046728971962616,69.0
2,0.6764705882352942,0.5609756097560976,0.6133333333333333,82.0
3,0.3130434782608696,0.5901639344262295,0.4090909090909091,61.0
4,0.7671232876712328,0.7088607594936709,0.7368421052631579,79.0
5,0.5652173913043478,0.8125,0.6666666666666666,80.0
6,0.5533980582524272,0.6785714285714286,0.6096256684491979,84.0
7,1.0,0.4430379746835443,0.6140350877192983,79.0
accuracy,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
macro avg,0.6335672175254126,0.5648434235112989,0.5685791081127404,576.0
weighted avg,0.6513437260264331,0.5833333333333334,0.5866230498347065,576.0
